#{"t_start": 1582861662.4267607, "env_id": null}
r,l,t
-28253.881713,52,32.450724
-30742.730561,42,70.943333
-30794.754091,42,123.557849
-30763.431005,42,167.352898
-30707.633109,42,216.96496
-28622.723468,52,265.334396
-28316.045074,52,312.961104
-30791.623543,42,351.264766
-28652.902922,52,397.105987
-28383.748755,52,442.058969
-30458.989921,42,479.365448
-28246.982785,52,526.962692
-30561.228949,42,568.837426
-30470.915734,42,636.069931
-30419.448378,42,667.599618
-28289.169533,52,701.93717
-28672.146587,52,732.40074
-30438.351716,42,757.49351
-28233.448988,52,787.702346
-29436.956769,42,813.054557
-28596.97925,52,843.141274
-28240.770916,52,873.866755
-28281.337855,52,904.347668
-29962.551919,42,929.798859
-27979.037566,52,959.907745
-28211.086196,52,990.310031
-28021.022412,52,1021.008224
-27908.893821,52,1051.359779
-27873.576409,52,1081.804689
-27994.714897,52,1112.207052
-28018.452731,52,1142.677171
-28391.646944,52,1173.384115
-27994.272552,52,1203.626057
-29450.138097,42,1229.194846
-11352.63187,100,1288.454535
-29257.988133,42,1313.597388
-27842.548724,52,1344.612379
-29878.171933,42,1370.459942
-11320.171285,100,1429.491883
-27853.799524,52,1459.940117
-29162.22137,42,1485.581034
-27725.960835,52,1516.118873
-27895.743613,52,1546.485307
-29027.027204,42,1573.002163
-28697.668658,42,1598.635411
-27506.620423,52,1629.018576
-27952.556068,52,1659.131825
-28343.151427,42,1684.18412
-10952.871479,100,1745.716487
-28583.987622,42,1771.382251
-28416.056648,42,1796.814912
-27847.026304,52,1827.332934
-27889.89326,52,1857.746228
-27779.534061,52,1890.205686
-27800.639447,52,1921.840665
-28003.0239,52,1953.353102
-27878.025401,52,1986.083863
-29077.689523,42,2012.585736
-28767.470878,42,2038.895145
-11314.962021,100,2099.788163
-27805.777832,52,2130.410875
-27861.291601,52,2160.863591
-28860.717498,42,2186.21345
-28834.577335,42,2211.769495
-27861.303768,52,2242.935623
-27845.923778,55,2276.301091
-27769.305159,52,2307.804374
-27913.536264,52,2339.522644
-27707.257832,52,2370.989683
-27629.528407,52,2402.421608
-28385.423859,42,2428.770814
-27896.941428,52,2461.006204
-28442.026577,42,2487.708118
-27809.719696,55,2521.745662
-27693.953002,52,2553.922374
-27825.522624,52,2586.125492
-27373.419969,52,2617.941874
-27814.356227,52,2650.721127
-27619.489075,52,2683.062897
-28438.236611,42,2709.349652
-27813.416035,52,2740.724338
-28504.959498,42,2767.053634
-27623.341441,54,2799.95353
-27912.67399,52,2831.648241
-28911.121563,42,2858.218144
-27793.617329,52,2890.115144
-27903.66755,52,2921.923007
-27821.408368,52,2953.861207
-27529.940921,52,2985.727357
-28169.453965,42,3012.300166
-27578.837678,52,3044.210979
-27264.967115,52,3077.220526
-27826.960061,52,3112.786117
-27606.436062,52,3147.439023
-27665.956297,52,3182.514258
-28732.818879,42,3212.070313
-28140.357614,42,3241.647693
-27881.417561,59,3280.803154
